scramble,orientation,Step_FD_RD,Step_UF_UR,Step_DBL_DBR,Step_BR_UBR,Step_FL_UFL,Step_FR_UFR,Step_BL_UBL,total_moves
B2 L' R B' L2 U2 L2 B D' R2 L2 B U' D2 R U2 F2 U D2 R' F R,x2,U' L' R2 B',D' F D2,F U' F2 D R D' F' U L',D2 F2 U B2 U' F2 D2,R B' D2 B2 D2 B2 D2 B' R' B2,R F2 U' B2 L2 F2 D' B2 R,L2 B2 R D' R D R2 B2 L U L,53
R' U L U F2 U' B2 L2 B' U F U2 F2 U F R' L' B' U2 F' D',x2,F2 D L2 U2,F' L' D2,F' L' D R2 F R2 F2 D',U F2 U L2 U' F2 U',R2 D' L2 D2 F2 D' R2,L' B2 R' U2 R2 F2 R' B2 L D2,B D2 B' U' B D' R F2 R' D' B' U,51
R2 D' U2 F2 B2 R B' D' F' L2 F' U B' L' U' L' F R2 L' D2 F' U2 D2 F2 R',x2,F2 R B,D2 L' F' L' D2,D F D L F' L' F D2 F L,R' B2 U' F2 L2 B2 D' F2 R',L' D2 U2 R D2 U2,,B2 D R2 F2 R2 D' B2 L2,41
L2 B D' B' D F U2 B' F' R2 U2 F2 B2 U R' B2 U L F' U F B2 D' R L,x2,R F2 U',F2 D' F D2,U' L2 R2 F2 R2 F L2 F2 U F' L',U B2 F2 L2 B2 F2 U',L2 D' L2 D L2,L' D' U B2 D U' L',U2 R2 U' B2 F2 L2 F2 D' B2 U',47
F R' B2 D' U' B U2 B2 D F B' D2 L D2 B L' D2 L' R D B2 R' F B,x2,B R,D2 B' L' B D',D F2 D R D' F R' D' L' F2,L2 B2 U' F2 U B2 L2,U2 R' F2 L' D R2 U' R2 D' L2 F2 R,L F2 R2 B2 R2 F2 L B2,R' U L U' R' D' L2 D L R2,54
R2 F B2 U B' R' B' D B F L R U2 R2 F U2 F' L D' R B2 L B L,x2,B' L2 U,L' D2 F' D,R2 U2 R U R' U F' R2 F L,R' B' U F' D2 F2 D2 F U' B R',L2 U' F2 U L2,B2 R U' F2 D' L2 B2 D' L F2 R U2,R' B2 U2 F2 L' U2 B2 D2,53
D2 R U2 F' L B2 F' D B U' F' B U' D2 R2 F2 L R' B' R2 L D U' L' B',x2,R' F' R' U',R F2 R' D,U L2 U' R B D2 B' R F' R2 F,R U' F U2 B' U F' U' B2 L2 B' R',L2 D' L2 D L2,,D' B2 U2 L' U2 B2 D2 R' D',45
B2 R' L D2 L' D L2 R2 B' U R2 F' L2 R2 U' L2 R' B2 R B' D B2,x2,R',D L D2,B2 U' F2 U L R2 F L B2 L R2 F,F' R' U B D2 L2 D2 B' U' R F,R' F2 L2 D R2 U R2 D' L F2 R U2,D2 U2 L2 D2 U2 R2,U R2 D' B2 D R2 U' L2,53
B D2 L U2 D' L2 B U' F2 R B2 R' B' F2 U' L' R' B' F U D2 F2 L,x2,D L R2 B',B' L' B D',D U' B D2 B2 F' D2 B D' U,L2 D' L2 D L2,R2 D' L2 D2 F2 D' R2,R2 F L2 F2 L2 F2 L2 F R2,L2 R2 D' L' B' D F D' B D F' L' R2,52
U B F2 U' L R U B2 D2 U' L U2 F D2 U R' U2 B D2 U' F' B',x2,F L2 R B',F2 D2 L' D',F' L B' D' R' U' B' R D B2 F2,R F' R2 B' L2 F D2 B' U2 B2 R',L2 U' F2 U L2,D2 L2 D R2 D' L2 D R2 D,D U' R2 D' U F2,50
